CLA 350,"Classical Literature in Translation","Course to acquaint students not majoring or minoring in classical languages with Latin and Greek authors and literary movements. Conducted in English. Repeatable when subtitle and content change."
CLA 203,"Classical Mythology","An introduction to the principal cycles of Greek and Roman mythology, with emphasis on the influence of classical mythology upon the literature and art of the Western world."
