HMS 360,"Latin America Through Literature","Selected readings in contemporary Latin American literature (in translation) reflecting current issues. Conducted in English."
HMS 410,"Interdisciplinary Topics in the Humanities","An examination of varying topics in the Humanities from an interdisciplinary perspective. Course may be repeated when content varies."
