AMS 478H,"Honors Thesis","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for 3 semester hours each in two separate disciplines in consultation with the department chairpersons."
AMS 477H,"Honors Thesis","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for 3 semester hours each in two separate disciplines in consultation with the department chairpersons."
AMS 400,"Interdisciplinary Research","Study of the principles of interdisciplinary scholarship; what can and probably cannot be accomplished by it; successful interdisciplinary accomplishments. Students will complete interdisciplinary projects."
AMS 301,"Interpretations of American Culture","Critical study of various interpretations of American culture through more than a hundred years."
AMS 300,"American Cultures","Study of American artifacts to discern how they indicate the periods in the life of the civilization and how like artifacts can be used to determine the stages of development of various peoples. (Will not satisfy humanities breadth requirement.)."
AMS 480,"American Studies Capstone","Project and presentation in the scholarship, activity, or practice related to American Studies. Students will present their work in an appropriate forum."
AMS 477,"Honors Thesis Project","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for 3 semester hours each in two separate disciplines in consultation with the department chairpersons."
AMS 478,"Honors Thesis Project","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for 3 semester hours each in two separate disciplines in consultation with the department chairpersons."
